Offer_Spend,Playcoins_Used,Online_Bookings
30824,262,1299
15097,444,642
28241,450,1037
24342,349,869
30731,312,1283
26369,421,948
30963,157,1332
14612,157,637
31103,443,1351
16243,275,660
17486,419,680
29453,257,1148
16553,324,665
15406,280,647
27076,358,989
30581,447,1252
26454,441,948
30395,436,1231
31189,450,1380
29817,420,1170
30112,442,1196
14672,157,638
26372,187,965
14974,157,642
31106,379,1354
24136,345,861
16815,184,672
16510,169,667
30464,400,1242
15905,432,653
23319,444,824
30992,446,1322
30929,371,1314
30957,450,1312
22169,449,784
26099,245,947
15739,217,652
27637,246,1026
18335,246,701
18749,324,708
15640,228,651
17846,317,689
29031,262,1115
29649,187,1170
19857,181,739
18030,185,696
27647,341,1021
28767,449,1075
19062,165,722
14964,168,641
29824,442,1167
27314,445,990
15963,422,654
15097,157,644
19913,333,735
15022,193,642
19454,340,724
29057,159,1131
30051,174,1209
30896,431,1305
31220,444,1405
15489,416,647
15495,396,647
30162,431,1204
16806,157,676
14910,256,640
15506,215,649
15758,199,653
30189,413,1209
28779,173,1105
22311,220,806
31169,445,1372
28483,373,1070
14637,208,637
30770,422,1284
31178,417,1377
18402,245,702
29577,293,1157
20692,376,753
14846,167,640
15519,233,649
25511,258,920
29339,388,1132
26558,434,955
28297,157,1085
31107,354,1355
14595,162,637
22295,203,807
31146,396,1366
30916,248,1316
31124,370,1359
31082,450,1341
19418,317,724
26292,254,956
30916,178,1319
28902,160,1118
27799,448,1014
22705,322,814
31197,421,1386
31220,396,1405
25577,232,925
16477,167,666
17949,313,691
14600,372,637
28376,341,1065
31131,449,1357
20168,157,755
14914,160,641
27211,351,996
15390,318,646
14631,160,637
31125,211,1363
30302,411,1222
25747,159,945
31211,449,1394
18644,157,717
25635,314,923
30697,427,1272
30197,379,1212
19249,178,725
18439,268,703
14653,416,637
18154,161,701
31195,442,1384
31117,429,1356
31193,450,1382
30329,377,1228
30703,346,1277
19942,192,741
15601,279,650
23468,242,843
30775,430,1284
31210,446,1394
27429,443,997
14683,170,638
26652,449,953
30997,201,1333
27465,168,1025
31220,446,1405
27340,240,1010
14681,310,638
15466,429,647
30206,392,1213
19728,421,727
17915,434,687
14949,363,641
27491,420,1005
31219,425,1402
24674,423,876
29476,366,1144
30518,206,1258
17577,446,680
25898,448,919
31095,443,1348
31209,442,1393
23041,236,829
29706,201,1174
18687,333,707
30099,229,1209
15014,433,641
15187,281,644
30883,316,1308
28568,249,1083
30938,187,1322
30925,417,1312
19212,311,719
21894,402,785
15918,250,655
17863,165,694
14774,158,639
29292,230,1137
15284,161,646
14874,157,640
28537,174,1088
21000,341,763
29813,183,1185
26474,250,965
29119,433,1109
30927,429,1311
25980,450,913
16660,205,668
28905,219,1108
16354,252,662
28345,282,1066
24221,172,877
30025,201,1203
30670,307,1274
26118,313,944
30412,189,1246
30702,450,1265
31145,343,1366
29479,298,1148
29737,192,1177
31208,437,1392
28594,374,1077
14782,158,639
25794,210,936
25075,205,906
28491,301,1075
30282,395,1221
24555,432,870
15384,436,646
25138,389,897
14620,260,637
31198,447,1385
21219,387,767
14606,364,637
31073,447,1341
31073,383,1345
17234,344,677
31217,432,1400
30175,284,1214
15869,157,657
29298,448,1117
30610,446,1256
27856,173,1045
31193,175,1387
26617,195,976
18100,158,702
30644,388,1268
15711,445,650
24944,179,904
26261,441,939
16920,157,677
31186,450,1378
24288,378,865
30260,433,1215
24409,438,864
14906,212,640
30976,450,1315
28027,335,1044
28453,164,1085
28132,410,1044
24105,426,855
15766,370,652
19455,243,727
26143,197,953
18354,288,700
31220,422,1405
23834,412,847
16133,161,660
18970,327,713
28725,216,1096
30743,421,1280
29674,229,1169
24883,279,894
30738,194,1289
24173,403,860
27748,282,1030
27570,296,1019
31167,450,1369
27421,421,1002
25590,279,922
22106,304,796
31216,449,1398
31195,333,1386
22599,158,825
15648,327,650
30928,319,1316
14591,157,637
14939,157,642
16136,175,660
30936,395,1315
15437,157,649
31200,448,1387
28581,298,1081
31184,441,1379
31220,450,1405
31219,449,1403
31125,450,1355
30601,229,1268
19087,213,719
29952,350,1189
28685,431,1078
20375,333,747
16811,182,672
30873,322,1306
14650,269,637
23974,198,864
30032,444,1187
31207,445,1391
30331,429,1223
28833,384,1093
31132,425,1360
14963,357,641
27167,224,1002
24858,347,889
22499,424,802
30901,402,1308
24318,333,869
30807,303,1295
24305,257,872
29476,423,1139
31193,395,1384
15428,218,648
22156,188,804
14685,177,638
29044,337,1112
27969,159,1059
15343,355,646
14873,369,640
14958,200,641
18799,245,711
27752,403,1022
29441,395,1139
16551,186,667
28980,242,1113
28035,163,1060
31218,411,1401
14672,189,638
14755,248,639
31220,412,1405
14636,196,637
14593,179,637
31020,430,1331
31168,447,1372
31207,315,1392
15053,160,643
25713,438,916
14590,157,637
17464,385,680
21036,360,763
14859,215,640
26074,206,949
31194,437,1384
30535,449,1244
14607,157,637
29042,354,1111
27953,221,1047
22618,370,809
29227,274,1129
22666,181,821
31208,450,1391
31169,447,1372
16561,208,666
31220,450,1404
16505,233,665
17636,320,685
15949,319,655
18205,325,696
15223,157,645
18064,158,701
29462,279,1148
30686,160,1286
14731,167,638
15000,167,642
30403,439,1231
14598,286,637
30713,447,1271
27896,413,1030
28677,446,1073
29418,165,1155
14592,183,637
18105,215,697
17238,158,682
14590,157,637
15578,157,651
14953,323,641
24293,171,880
14897,159,641
30852,418,1298
15025,157,643
30698,295,1279
30494,379,1247
26999,223,993
29239,283,1130
31209,442,1393
15155,239,643
18888,159,719
16167,234,659
24364,231,876
30495,348,1249
19664,446,723
14654,204,638
28277,357,1058
28716,257,1092
31213,359,1397
30851,364,1301
22659,397,808
29545,200,1160
31086,229,1352
18236,168,702
16093,157,661
14658,335,638
14591,158,637
19404,353,722
30971,200,1327
29038,443,1100
29691,290,1167
15807,161,655
15250,302,645
23187,431,823
22249,244,803
28504,307,1076
30958,332,1321
28600,217,1087
30561,441,1251
29268,398,1125
22009,158,807
30611,396,1262
30119,447,1195
20206,283,744
18408,293,701
20488,328,750
16693,169,670
15043,334,642
24323,185,879
31219,450,1402
30919,406,1311
28902,428,1093
26445,397,954
15253,353,644
25202,324,904
18062,218,696
31220,450,1405
28937,300,1106
25553,360,917
31213,450,1395
20738,335,756
18779,186,713
28866,443,1087
18819,211,713
31217,425,1401
15053,168,643
16724,246,669
30632,442,1260
27461,319,1011
27347,243,1010
26023,365,937
14639,293,637
21897,159,802
24612,172,892
23800,355,849
14742,190,638
31216,446,1398
14913,286,640
17813,249,690
31220,391,1405
31219,413,1402
27149,195,1003
21510,173,786
23827,266,854
30727,397,1279
31193,343,1385
30855,407,1300
17044,178,676
31220,414,1405
24712,350,883
22686,261,816
21781,363,784
25122,234,906
14590,158,637
15996,445,654
24595,443,869
30982,355,1325
31220,450,1405
30087,378,1201
29705,384,1163
27781,405,1024
18481,442,698
28397,413,1061
27963,233,1046
28716,303,1090
15271,344,645
31216,291,1399
17163,348,675
27087,302,992
17976,157,700
30615,393,1263
14652,309,637
19911,445,729
28406,440,1057
25193,443,892
30316,372,1226
31204,447,1389
27733,306,1028
30895,233,1312
30990,401,1326
30044,173,1208
16106,353,657
15175,225,644
29523,448,1136
21533,279,780
28589,194,1089
16422,190,664
27632,386,1017
23187,189,837
28564,439,1068
22695,238,818
30802,450,1283
29294,300,1133
29370,384,1134
17844,333,689
20143,394,739
14873,172,640
28739,417,1083
14591,229,637
29314,379,1130
14838,287,639
24764,194,895
22218,450,785
21614,298,782
24527,400,873
23921,235,860
15291,217,645
25477,257,919
18782,195,713
30362,446,1224
30430,301,1243
15316,268,646
30948,446,1313
29551,160,1168
25706,358,924
23731,370,846
15135,372,643
14604,172,637
22948,255,824
27256,447,986
31143,419,1364
30643,347,1269
16450,236,664
28952,448,1090
23439,179,847
31191,448,1382
14751,159,639
25931,427,927
18407,431,697
23924,426,848
16268,436,658
15473,244,648
22510,172,817
31220,444,1405
16544,294,665
14798,230,639
23172,187,837
16167,298,659
14961,199,641
16740,243,669
16642,297,667
31207,450,1390
14962,177,641
16754,387,667
29527,206,1158
31040,450,1331
29786,189,1183
28955,263,1109
31156,422,1369
18748,326,708
20540,158,763
20420,163,757
14958,160,641
27312,240,1009
26624,177,979
15043,157,643
14593,157,637
30380,442,1227
15263,445,644
31036,428,1335
31209,403,1393
29250,362,1126
30399,400,1234
15958,331,655
16619,341,666
30318,416,1223
31117,447,1354
27635,208,1029
24869,191,899
31063,450,1336
31025,450,1326
30842,443,1293
28944,328,1105
30582,270,1264
15897,247,655
29421,264,1145
17201,185,679
14978,182,641
30268,402,1219
27331,433,995
15684,426,650
30140,443,1199
31220,443,1405
31174,277,1377
17208,176,680
23833,310,852
18824,324,710
16628,263,667
21875,210,794
16430,325,663
30739,415,1280
14614,158,637
30098,450,1178
23887,180,863
31095,348,1352
31197,420,1386
14839,167,640
30705,283,1280
15037,408,641
31190,450,1380
31220,425,1405
23928,284,857
16130,364,657
20048,356,738
29772,397,1168
20312,435,740
17027,171,676
27485,188,1022
20361,314,747
28229,409,1051
24782,364,885
31193,257,1385
31210,318,1394
28971,195,1115
29841,200,1186
14603,175,637
31220,447,1404
14924,177,641
28415,421,1061
30588,328,1262
30377,214,1240
31189,402,1383
28910,159,1120
21085,433,760
25116,193,909
26677,295,972
22653,166,823
31143,446,1362
18526,250,705
26229,349,947
15535,214,649
16956,256,673
30216,442,1208
22066,389,791
31220,448,1404
31121,447,1355
20221,218,747
14646,306,637
29128,443,1107
29885,441,1174
28661,384,1081
29164,391,1117
31104,450,1347
23736,284,851
15349,223,646
18462,245,704
29911,238,1190
30811,257,1297
19460,246,727
29660,411,1157
30642,368,1268
31060,395,1342
31179,257,1380
20078,413,736
23545,220,847
21933,161,802
30777,347,1289
27822,271,1035
19058,442,710
16856,158,675
27202,241,1002
20922,445,754
21881,447,779
22245,449,786
29496,362,1146
31067,331,1345
15267,245,645
29602,277,1160
26857,162,994
14869,160,640
31219,443,1402
28765,233,1097
21696,158,797
28032,174,1056
26269,408,945
15337,431,645
31217,446,1400
21118,425,762
31208,439,1392
30330,356,1228
30404,187,1246
19630,398,726
18732,406,706
14667,157,638
15105,230,643
15447,256,648
19624,346,728
18027,445,688
29043,349,1111
27382,234,1013
17195,325,677
15205,373,644
31188,435,1381
24996,267,899
31172,384,1375
29373,328,1138
30429,170,1251
29374,267,1141
19283,346,720
26825,231,983
16998,370,672
15225,254,644
27770,344,1027
20195,204,747
29841,431,1171
28927,305,1105
18775,386,707
31010,239,1334
29711,436,1158
31097,449,1347
27031,253,993
31179,404,1378
30414,320,1240
20536,283,753
31220,442,1404
16811,267,670
20796,419,754
25160,450,879
29712,415,1161
30887,170,1314
16871,296,671
31220,450,1404
23998,199,865
15317,184,646
18894,178,717
28467,447,1058
25751,220,934
14617,182,637
28158,377,1049
15353,444,645
30989,446,1322
25412,440,902
20118,284,742
30645,164,1279
18198,158,704
17565,157,690
31219,434,1403
24444,165,887
30933,390,1314
15426,176,648
23480,255,843
31217,368,1400
31166,276,1375
28469,329,1072
31116,425,1356
25445,342,913
25125,211,908
16435,227,664
16142,182,660
21539,386,776
17224,277,678
19675,400,727
31030,239,1338
16378,243,663
27407,380,1005
30797,314,1293
31038,313,1339
31217,333,1401
15753,236,652
30700,323,1278
24903,237,897
26544,364,961
14716,158,638
16074,173,659
19953,424,732
16827,160,674
15196,385,644
14716,186,638
16751,162,672
30610,437,1258
28630,312,1084
27448,182,1021
15523,158,650
28969,409,1100
30495,440,1242
17931,335,691
31217,427,1400
21572,320,780
23695,350,846
24132,196,870
19646,317,729
29497,193,1157
14891,163,640
16675,232,668
16317,369,660
31220,300,1405
15436,216,648
28396,426,1059
30564,381,1257
30789,446,1284
15525,360,648
31186,233,1383
23841,164,864
31220,447,1405
21135,173,775
31087,450,1342
14954,157,641
28209,441,1044
17283,238,679
23195,194,837
31208,431,1393
16036,195,657
24865,391,887
31026,449,1329
31219,420,1403
16539,210,666
30423,165,1251
24589,442,869
22046,305,794
15152,157,645
15048,157,643
28554,169,1090
16844,412,669
26121,442,932
31163,208,1374
15125,234,643
15360,158,647
29303,272,1135
31197,431,1386
26715,362,970
18149,260,697
20275,398,742
14623,293,637
15128,214,643
22537,384,806
31204,345,1391
24834,378,886
26045,221,947
31149,376,1367
31099,421,1351
21338,307,774
28429,416,1062
15432,162,648
18317,161,705
31072,334,1346
21789,448,775
20346,245,749
31042,434,1336
31211,443,1394
30547,431,1250
15102,172,643
25989,360,936
15342,210,646
31026,248,1337
22823,253,821
31219,447,1403
30552,217,1262
31040,256,1340
26995,430,978
31168,335,1374
30157,295,1212
23890,297,856
31220,449,1405
26006,181,949
28761,160,1108
30126,218,1213
17691,417,684
21149,161,778
24709,449,868
29821,436,1169
17501,250,684
31220,430,1405
31213,448,1395
17434,180,684
16392,191,664
31220,450,1404
31220,356,1404
31218,262,1402
20704,236,759
27965,175,1052
28454,392,1067
30167,439,1203
25767,434,919
14891,160,640
16478,161,667
31001,435,1326
24774,249,891
31149,364,1368
22091,168,804
14922,173,641
30974,359,1324
23702,228,852
21439,359,774
24027,450,841
20512,366,749
19707,226,734
30415,386,1237
15346,157,648
28209,378,1052
17023,426,671
31123,445,1356
27978,263,1045
17646,299,686
15213,240,644
31119,391,1357
15898,317,654
21133,218,771
20156,222,745
31035,442,1333
29017,322,1111
30628,189,1274
29603,159,1173
21855,273,790
28125,412,1044
25425,209,920
31122,447,1355
14596,165,637
28303,166,1075
28460,443,1059
15968,404,654
15208,256,644
19746,305,732
14717,162,638
24627,447,868
29714,284,1169
30355,310,1234
31220,438,1404
17429,268,682
26076,301,943
16613,431,664
15219,162,645
31183,382,1380
22163,286,798
28152,329,1052
23465,272,842
26388,375,954
17679,332,686
14935,158,641
30248,331,1220
24921,167,905
30633,348,1268
15379,280,646
31070,373,1345
18505,288,704
28940,342,1104
21081,443,758
15820,157,656
14952,157,642
21320,158,786
15257,166,646
21752,335,784
30588,423,1257
22997,221,829
30911,337,1312
22749,230,820
28938,425,1097
23948,358,854
20411,439,742
15415,416,646
30236,435,1211
17022,161,677
28296,439,1050
27470,180,1022
17889,346,690
16967,445,669
25214,435,896
17094,157,680
30252,417,1216
14802,268,639
17260,445,674
30919,445,1308
14883,205,640
21288,316,772
25850,286,934
24821,295,890
29532,441,1141
24198,448,852
28507,247,1079
22309,450,785
18957,211,716
29318,161,1149
30991,444,1322
25626,442,911
15135,237,643
21753,361,783
26884,433,971
18705,161,714
21547,352,778
30861,433,1299
20971,332,763
15602,363,649
21035,441,757
29542,434,1144
30081,359,1201
23988,251,861
30680,445,1267
15800,295,653
23169,430,822
29415,450,1123
19972,439,731
19105,159,724
28072,375,1044
31144,449,1361
29801,264,1179
29125,362,1117
14622,161,637
14806,372,639
29665,298,1164
16173,250,659
17693,425,684
20112,432,735
14595,157,637
31076,442,1343
25372,167,924
18691,164,713
14745,372,638
17059,301,674
27198,379,994
20975,378,761
31218,450,1400
24649,312,883
28784,200,1101
14642,202,637
18699,235,709
30380,259,1238
29597,430,1149
15160,159,644
30082,407,1198
20176,395,739
26024,397,935
31102,335,1354
25016,383,893
21983,352,790
30132,398,1204
15850,282,654
31220,449,1405
31214,437,1397
28409,419,1061
23212,344,829
31220,450,1403
28523,174,1087
23973,294,858
31173,324,1376
14660,157,638
31062,449,1337
22192,440,790
15266,168,646
17540,157,692
28940,301,1106
29896,221,1190
17866,161,695
26343,351,953
15129,168,644
14667,165,638
15315,179,646
18981,399,711
15825,207,654
15323,350,645
19688,323,730
15869,200,655
30293,183,1233
22060,290,795
15879,199,655
27007,189,997
14717,240,638
31106,438,1352
14873,157,640
19585,158,738
18695,248,709
15044,179,642
30922,441,1309
24012,184,867
23330,202,841
14652,217,637
23300,174,843
17099,296,675
29128,401,1114
29480,369,1144
19809,158,743
24917,172,904
15272,231,645
19123,174,722
29752,449,1156
23151,203,835
27334,197,1013
19092,206,719
31201,337,1389
20597,162,762
31163,330,1373
30205,423,1210
24714,248,889
26000,358,937
31145,186,1369
17414,385,680
29966,424,1184
31068,311,1346
29471,264,1149
20384,198,752
25740,158,946
30895,435,1304
23971,170,868
30897,450,1296
21863,382,785
27830,368,1029
31013,437,1328
30844,421,1297
30106,369,1203
21037,398,762
27003,229,993
30985,432,1323
30786,383,1289
24654,311,883
23768,446,838
31205,410,1391
26531,221,969
31213,447,1396
31219,448,1403
31219,421,1403
17569,205,686
18633,426,702
22325,162,814
19098,346,715
27853,383,1030
31087,324,1350
30536,443,1247
16978,157,678
29497,290,1150
29463,173,1157
20642,173,761
14672,158,638
22231,449,786
14819,176,639
30916,450,1303
29210,165,1138
27640,326,1021
27004,238,992
29494,271,1151
29593,436,1148
30418,338,1240
30880,175,1313
14592,192,637
14667,194,638
29802,380,1172
30944,274,1320
15534,158,650
15360,159,647
27358,401,1000
15245,169,645
31215,449,1398
14711,160,638
16939,162,676
27471,439,1000
20259,162,753
30585,165,1271
23000,252,827
15625,376,649
14590,157,637
30194,410,1210
23173,189,837
17055,316,674
15664,250,651
21840,180,795
30430,300,1243
29820,447,1165
29629,343,1159
29340,346,1134
28950,167,1118
21021,423,759
16459,184,665
16072,231,658
31185,448,1379
31211,444,1394
28572,317,1080
19588,303,728
31067,431,1342
24910,421,885
15418,254,647
14703,200,638
31209,450,1392
17420,171,684
29477,262,1150
30398,312,1239
15909,217,655
16176,190,660
30937,303,1318
30469,362,1245
15809,439,651
16721,379,667
31180,256,1380
17032,401,672
31217,450,1399
28178,297,1055
31220,449,1405
31166,444,1371
26913,208,989
31219,449,1403
15747,213,652
14999,157,642
30741,440,1277
30990,435,1324
31157,440,1369
24166,436,855
31208,449,1392
14950,158,641
26264,213,957
27814,307,1032
25704,161,941
16706,424,666
27786,236,1035
24338,319,870
16082,241,658
23493,214,845
31166,449,1370
17674,378,685
30705,320,1279
17376,433,677
22025,449,781
25882,422,926
17763,377,686
14683,256,638
14607,360,637
18536,208,707
18730,350,707
18621,158,713
19732,188,736
27664,448,1007
30100,416,1199
23085,175,835
31091,226,1353
29625,440,1150
25214,239,909
30467,360,1245
24068,426,853
30339,383,1228
30206,193,1223
30602,438,1257
21023,200,770
31188,386,1382
25956,445,923
29399,431,1132
28241,430,1049
30241,316,1220
30870,290,1306
20070,165,747
29078,431,1106
17829,190,692
31212,347,1396
27746,399,1022
31119,449,1354
18458,332,702
30368,219,1239
31196,448,1384
31093,298,1352
31217,450,1400
14612,157,637
30208,395,1212
14806,241,639
17858,433,686
30925,449,1306
27767,447,1014
28349,259,1068
31063,186,1348
28969,289,1109
14682,157,638
24590,196,888
30727,366,1281
31070,439,1342
22411,241,808
31182,422,1379
30867,182,1310
30987,359,1326
31220,432,1405
22723,382,811
15825,357,653
25553,353,917
20221,312,743
29540,342,1151
17373,305,680
24251,282,869
31212,276,1396
16611,174,668
27759,444,1015
31209,345,1394
14830,157,640
29222,450,1105
30878,389,1304
31139,189,1367
15924,422,653
30538,426,1250
19340,160,730
23258,297,833
17974,158,699
30656,227,1275
26291,365,949
19353,296,723
31188,425,1382
15982,162,658
18819,170,715
29784,278,1176
31007,443,1326
17017,182,676
16181,253,659
29991,308,1194
29997,416,1189
28742,449,1073
31175,444,1375
30134,403,1204
30842,284,1302
14927,160,641
21636,157,796
31220,450,1405
19993,387,735
29489,362,1145
15607,394,649
16872,159,675
31118,343,1358
30679,433,1269
18242,177,702
19718,187,736
28824,274,1099
16448,215,664
23452,442,829
16365,164,664
15194,436,643
21514,441,771
31010,286,1333
18835,251,712
31047,447,1335
16069,160,659
15677,348,650
23779,363,848
19133,398,715
30133,444,1198
16647,184,669
31188,429,1382
30105,430,1198
22580,204,816
19139,233,720
28278,344,1059
31084,330,1349
19056,161,722
31001,282,1331
30820,405,1293
22976,180,831
23335,304,836
31173,447,1374
27165,388,991
30218,410,1212
31218,450,1401
31052,245,1343
25851,450,913
30195,312,1215
18887,187,715
30272,314,1224
17858,253,691
24364,445,859
30986,441,1322
31165,315,1373
29657,434,1154
31214,448,1397
20042,250,741
15264,391,644
18961,384,711
18723,398,706
31090,394,1350
31217,441,1400
26974,448,969
21678,204,788
15178,248,644
22388,157,823
31211,448,1394
31022,411,1332
20178,361,741
15129,283,643
30100,175,1214
31191,422,1383
15298,157,647
14956,300,641
18228,191,700
27966,283,1043
25794,245,934
30652,289,1272
22035,450,779
27051,192,998
26982,377,983
16120,225,658
31010,449,1325
31164,335,1373
14986,358,641
26525,381,960
28246,353,1056
17338,158,685
14859,336,640
31210,341,1395
28411,288,1070
31002,389,1328
16549,162,668
16591,248,666
30235,372,1217
31220,449,1405
31216,259,1400
14613,161,637
31080,399,1347
31219,390,1403
22691,190,820
31181,412,1378
22324,263,805
23284,448,820
17430,335,681
30903,276,1312
18538,318,704
30979,373,1324
29293,179,1142
24629,338,880
17381,179,683
21667,348,781
30560,450,1243
30788,385,1289
21519,411,774
31211,387,1395
18517,214,706
20760,391,755
26704,314,972
31184,449,1378
16416,157,666
30688,447,1267
29616,214,1165
16765,175,671
20346,443,740
29571,365,1152
31215,389,1399
27046,442,977
24210,378,862
14986,184,641
30660,449,1260
24501,426,869
30069,275,1204
22273,396,797
31186,409,1381
20013,178,744
25984,360,935
20814,215,763
29249,291,1130
26747,429,965
14735,167,638
16856,255,671
31213,450,1395
24894,157,912
30411,359,1238
30970,447,1317
31061,307,1344
22191,187,805
31059,245,1345
30269,420,1217
26375,188,965
14636,213,637
31220,439,1405
29490,357,1146
14826,169,639
28347,407,1059
25197,193,912
21820,375,785
31220,450,1404
25535,265,921
22070,271,796
14599,170,637
14759,244,639
30607,261,1267
30674,404,1271
29369,207,1145
28192,158,1073
31108,363,1355
28803,349,1093
25385,217,918
31212,433,1395
24024,208,865
29265,246,1134
30881,450,1295
31212,285,1396
27025,448,972
19052,168,721
26482,421,953
30461,328,1245
21997,197,798
31170,437,1373
30793,450,1280
31212,304,1396
31220,423,1405
31136,431,1361
28773,346,1091
30945,374,1317
25398,158,931
19779,245,735
27059,428,981
22592,256,814
29236,175,1138
30713,213,1284
16244,326,659
23498,246,844
30480,385,1245
22108,447,785
15643,274,650
15872,176,655
19509,342,725
21141,391,765
25045,355,896
22639,314,812
29369,428,1130
18420,160,708
30844,243,1303
31169,212,1376
21648,241,785
30987,344,1327
20353,221,750
31133,449,1358
14759,200,639
15686,158,653
21057,167,774
31184,450,1376
21757,273,787
15214,427,643
30857,444,1296
30671,437,1267
29597,160,1171
31087,380,1349
15391,160,648
14869,343,640
26924,315,983
24866,318,891
30929,450,1305
30484,450,1233
19737,269,733
24631,406,876
26536,285,966
26041,297,942
18275,184,702
27682,167,1038
20919,279,763
19454,311,725
20045,191,744
31128,279,1362
26140,447,930
15594,157,652
30800,354,1292
14614,157,637
16520,159,668
30202,232,1220
23850,345,852
23685,167,858
18984,223,716
14806,286,639
17018,218,675
30256,420,1216
22350,240,807
16869,209,672
19800,229,736
17501,189,685
31067,401,1343
19564,384,725
30375,444,1225
20326,280,747
19345,442,716
31203,450,1387
26521,224,969
24511,159,893
31193,450,1381
28089,308,1049
18992,217,717
17888,263,691
20633,438,748
30678,403,1272
28919,400,1098
31219,239,1404
31220,450,1405
14603,160,637
14664,222,638
30954,450,1311
31218,376,1402
19115,415,713
14633,162,637
28596,446,1067
22519,414,803
19495,161,733
23316,311,835
31116,449,1353
22337,253,806
30309,444,1218
14943,199,641
31220,424,1405
16198,160,662
28919,187,1113
31220,450,1404
30621,262,1269
26053,219,947
26478,383,957
14595,159,637
29782,288,1175
31109,399,1354
14591,275,637
17921,168,695
28951,376,1103
14730,389,638
14848,161,640
20401,360,747
14689,324,638
18218,248,698
29825,352,1176
31218,416,1401
14590,223,637
28744,254,1095
18268,420,695
16081,216,658
26845,162,994
25615,162,937
31088,442,1347
29943,357,1187
31191,239,1385
23629,177,854
14590,159,637
15520,276,649
15727,339,651
30936,436,1312
29808,439,1167
31187,444,1380
20399,224,751
31112,401,1355
17398,161,685
28991,430,1100
29258,269,1132
14739,176,638
24568,258,882
31045,449,1333
31147,443,1365
27133,317,994
26910,221,988
15543,280,649
30317,363,1227
30938,282,1319
30376,413,1231
31215,445,1398
31181,430,1378
31209,450,1391
31209,168,1395
31219,438,1404
30442,375,1241
28668,162,1100
19389,218,726
15014,324,641
14786,259,639
27752,440,1017
30984,443,1322
20575,238,755
22246,387,797
30532,342,1254
16675,449,664
29989,444,1183
30912,171,1319
14670,192,638
31212,450,1395
19936,199,740
14602,162,637
29240,227,1133
31220,449,1404
29725,285,1170
30782,318,1290
29302,158,1149
22911,315,821
17780,320,688
15994,384,655
31170,364,1375
30870,308,1306
26403,336,957
30907,230,1315
31217,248,1401
31158,407,1370
19628,255,731
31212,449,1394
31145,271,1367
29227,166,1139
30912,421,1309
28805,279,1097
16429,160,666
31128,165,1365
30132,362,1206
27783,157,1051
30833,404,1296
18401,203,704
23705,297,849
19648,372,728
28346,396,1059
30999,361,1329
17088,237,676
24554,450,856
22155,320,797
22583,352,809
14700,296,638
19128,263,718
17356,414,678
31219,449,1402
31218,434,1402
15011,184,642
29827,283,1179
20422,210,753
27676,443,1011
29821,448,1164
14591,169,637
14706,207,638
31139,449,1360
29084,426,1108
30360,431,1227
25985,247,942
20989,363,762
16345,268,662
30591,432,1256
21561,357,778
26496,349,960
19214,403,716
29880,441,1173
30096,417,1198
15203,242,644
26680,312,971
22378,323,804
27047,167,1003
30821,277,1298
31209,441,1393
31219,436,1404
24928,401,888
27713,363,1023
14723,171,638
16033,176,658
31003,355,1330
29408,423,1134
16738,209,670
31220,449,1404
23366,178,845
